#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1,Shohei Ohtani,LAA,135,599,44,102,95,20,15.20%,23.90%,0.35,0.342,0.304,0.412,0.654,0.433,0.427,179,2.5,59.5,-14.5,6.5
2,Aaron Judge,NYY,106,458,37,79,75,3,19.20%,28.40%,0.346,0.3,0.267,0.406,0.613,0.42,0.461,172,-2.4,37.2,-5.6,4.7
3,Ronald Acuña Jr.,ATL,159,735,41,149,106,73,10.90%,11.40%,0.258,0.338,0.337,0.416,0.596,0.428,0.46,171,8.8,73.5,-7.5,9.1
4,Corey Seager,TEX,119,536,33,88,96,2,9.10%,16.40%,0.296,0.34,0.327,0.39,0.623,0.419,0.412,171,-2.8,42.7,2,6.3
5,Yordan Alvarez,HOU,114,496,31,77,97,0,13.90%,18.50%,0.29,0.306,0.293,0.407,0.583,0.415,0.435,170,-4.5,37.3,-11.2,4.3
6,Mookie Betts,LAD,152,693,39,126,107,14,13.90%,15.40%,0.272,0.316,0.307,0.408,0.579,0.416,0.407,166,0.7,57.7,-4.1,7.7
7,Yandy Díaz,TBR,137,600,22,95,78,0,10.80%,15.70%,0.192,0.367,0.33,0.41,0.522,0.402,0.383,163,-4.4,41.1,-11.7,5
8,Freddie Freeman,LAD,161,730,29,131,102,23,9.90%,16.60%,0.235,0.37,0.331,0.41,0.567,0.411,0.408,162,4.5,61,-7.4,7.8
9,Matt Olson,ATL,162,720,54,127,139,1,14.40%,23.20%,0.321,0.302,0.283,0.389,0.604,0.413,0.392,161,0.2,54.7,-13.4,6.5
10,Jose Altuve,HOU,90,410,17,76,51,14,10.70%,17.30%,0.211,0.348,0.311,0.393,0.522,0.393,0.331,155,0,26.9,0.3,4.1
11,Juan Soto,SDP,162,708,35,97,109,12,18.60%,18.20%,0.245,0.296,0.275,0.41,0.519,0.395,0.408,154,-0.9,46.4,-10,6
