"last_name, first_name","player_id","year","k_percent","bb_percent","batting_avg","isolated_power","exit_velocity_avg","launch_angle_avg","hard_hit_percent","whiff_percent","swing_percent","pull_percent","opposite_percent","groundballs_percent","flyballs_percent"
"Pujols, Albert","405395","2021",15.2,4.7,".236","0.197","90.3","12",39.7,21.7,47.1,46.1,25.4,46.1,26.7
"Cabrera, Miguel","408234","2021",22.4,7.6,".256","0.130","91.4","10",49,25.8,49.4,32.8,30,49,25.9
"Molina, Yadier","425877","2021",16.7,5.1,".252","0.118","88","15.3",31.6,24,57.1,43.4,22.3,42.6,29.1
"Cruz Jr., Nelson","443558","2021",21.6,8.7,".265","0.232","92.9","11.8",52.5,30.7,51,36.6,27,43.4,25.5
"Peralta, David","444482","2021",17.1,8.6,".259","0.143","89.3","5.3",41.8,21.3,46.5,31.2,28,54.9,15.6
"Escobar, Alcides","444876","2021",16,4.9,".288","0.116","81.7","11.1",21,21.9,52.1,31.1,30.7,45.3,20.6
"Longoria, Evan","446334","2021",23.4,12,".261","0.221","94.1","15.5",54.5,25.1,42.4,35.8,25.1,41.2,31.6
"Cabrera, Asdrúbal","452678","2021",22.7,10.2,".230","0.136","87.8","14.5",30.9,25.3,48.3,46.4,21.5,42.5,27.9
"Blackmon, Charlie","453568","2021",15.6,9.3,".270","0.141","87.6","10.2",38.5,20.2,47.3,35.7,22.5,47.4,22.3
"Maldonado, Martín","455117","2021",29.8,11,".172","0.128","88","17.6",33.2,28.9,42.8,40.1,25.9,37.2,32.4
"Cain, Lorenzo","456715","2021",16.8,9.1,".257","0.144","88.4","7.2",37.6,21.9,44.6,32.4,30,50,24.3
"Solano, Donovan","456781","2021",16.9,7.3,".280","0.124","88.3","11",36.6,20.3,49.7,33.1,27.2,42.1,27.2
"McCutchen, Andrew","457705","2021",23,14.1,".222","0.222","88.8","14.6",39.5,25.9,41.7,48.7,18.5,40.9,30.5
"Upton, Justin","457708","2021",29.6,10.8,".211","0.198","90.1","15.2",41.6,31.4,45.1,44.9,21,42.5,31.3
"Turner, Justin","457759","2021",16,10,".278","0.193","90.9","19.2",42.4,17.7,44.5,31.3,30.2,35.4,33.1
"Posey III, Buster","457763","2021",19.2,12.3,".304","0.195","88.5","8.7",39.4,23.9,44.6,30.3,24.8,46.5,23.2
"Votto, Joey","458015","2021",23.8,14.4,".266","0.297","92.9","18.2",53.2,29.4,43.9,40.9,22.2,33.2,36.9
"Gardner, Brett","458731","2021",21.7,13,".222","0.140","86.7","12.5",33.2,18.4,37.5,33.6,28.9,46,21.8
"Andrus, Elvis","462101","2021",15,5.7,".243","0.077","87.8","8.1",34.8,19.6,48.9,32.2,25.5,47,17.5
